Series ID,A2325846C
1993Q1,42.1
1993Q2,42.25
1993Q3,42.45
1993Q4,42.53
1994Q1,42.68
1994Q2,42.99
1994Q3,43.26
1994Q4,43.61
1995Q1,44.34
1995Q2,44.92
1995Q3,45.46
1995Q4,45.81
1996Q1,46.0
1996Q2,46.31
1996Q3,46.43
1996Q4,46.51
1997Q1,46.58
1997Q2,46.47
1997Q3,46.28
1997Q4,46.39
1998Q1,46.51
1998Q2,46.78
1998Q3,46.91
1998Q4,47.11
1999Q1,47.08
1999Q2,47.29
1999Q3,47.72
1999Q4,47.97
2000Q1,48.4
2000Q2,48.77
2000Q3,50.59
2000Q4,50.76
2001Q1,51.3
2001Q2,51.73
2001Q3,51.87
2001Q4,52.35
2002Q1,52.82
2002Q2,53.2
2002Q3,53.56
2002Q4,53.92
2003Q1,54.62
2003Q2,54.62
2003Q3,54.93
2003Q4,55.22
2004Q1,55.71
2004Q2,55.97
2004Q3,56.2
2004Q4,56.63
2005Q1,57.01
2005Q2,57.35
2005Q3,57.92
2005Q4,58.22
2006Q1,58.72
2006Q2,59.65
2006Q3,60.18
2006Q4,60.11
2007Q1,60.16
2007Q2,60.9
2007Q3,61.32
2007Q4,61.89
2008Q1,62.72
2008Q2,63.63
2008Q3,64.37
2008Q4,64.16
2009Q1,64.23
2009Q2,64.55
2009Q3,65.16
2009Q4,65.51
2010Q1,66.12
2010Q2,66.52
2010Q3,67.0
2010Q4,67.26
2011Q1,68.3
2011Q2,68.93
2011Q3,69.34
2011Q4,69.34
2012Q1,69.38
2012Q2,69.74
2012Q3,70.69
2012Q4,70.87
2013Q1,71.11
2013Q2,71.38
2013Q3,72.25
2013Q4,72.77
2014Q1,73.2
2014Q2,73.57
2014Q3,73.88
2014Q4,74.02
2015Q1,74.16
2015Q2,74.69
2015Q3,74.98
2015Q4,75.27
2016Q1,75.12
2016Q2,75.45
2016Q3,75.98
2016Q4,76.38
2017Q1,76.73
2017Q2,76.88
2017Q3,77.35
2017Q4,77.87
2018Q1,78.21
2018Q2,78.49
2018Q3,78.83
2018Q4,79.24
2019Q1,79.23
2019Q2,79.7
2019Q3,80.15
2019Q4,80.7
2020Q1,81.0
2020Q2,79.44
2020Q3,80.67
2020Q4,81.4
2021Q1,81.87
2021Q2,82.47
2021Q3,83.17
2021Q4,84.23
2022Q1,86.05
2022Q2,87.59
2022Q3,89.2
2022Q4,90.85
2023Q1,92.08
2023Q2,92.87
2023Q3,93.94
2023Q4,94.53
2024Q1,95.41
2024Q2,96.41
2024Q3,96.62
2024Q4,96.81
2025Q1,97.7
2025Q2,98.43
2025Q3,99.73
2025Q4,100.32
2026Q1,101.7
2026Q2,102.31
